;word;part_of_speech;Positivity;Negativity;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust;wn_synset_id
1966;poci;Verb;0;1;0;0;1;0;0;0;0;0;ENG30-00476744-v
1967;schimonosi;Verb;0;1;0;0;1;0;0;0;0;0;ENG30-00476744-v
1968;sluți;Verb;0;1;0;0;1;0;0;0;0;0;ENG30-00476744-v
1969;urâți;Verb;0;1;0;0;1;0;0;0;0;0;ENG30-00476744-v
1970;deformare;Noun;0;1;0;0;1;1;0;1;0;0;ENG30-00403466-n
1971;deformație;Noun;0;1;0;0;1;1;0;1;0;0;ENG30-00403466-n
1972;desfigurare;Noun;0;1;0;0;1;1;0;1;0;0;ENG30-00403466-n
1973;pocire;Noun;0;1;0;0;1;1;0;1;0;0;ENG30-00403466-n
1974;urâțire;Noun;0;1;0;0;1;1;0;1;0;0;ENG30-00403466-n
1975;denatura;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00680485-v
1976;falsifica;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00680485-v
1977;deforma;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00680485-v
1978;deformat;Adjective;0;1;0;0;1;0;0;1;0;0;ENG30-02141298-a
1979;diform;Adjective;0;1;0;0;1;0;0;1;0;0;ENG30-02141298-a
1980;malformat;Adjective;0;1;0;0;1;0;0;1;0;0;ENG30-02141298-a
1981;autorizație;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-05176607-n
1982;degenerare;Noun;0;1;1;0;1;0;0;1;0;0;ENG30-14440875-n
1983;degenerație;Noun;0;1;1;0;1;0;0;1;0;0;ENG30-14440875-n
1984;degradare;Noun;0;1;1;0;1;0;0;1;0;0;ENG30-14440875-n
1985;decadență;Noun;0;1;1;0;1;0;0;1;0;0;ENG30-14440875-n
1986;degerătură;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14183522-n
1987;degrada;Verb;0;1;0;0;1;0;0;0;0;0;ENG30-01800422-v
1988;dezonora;Verb;0;1;0;0;1;0;0;0;0;0;ENG30-01800422-v
1989;necinsti;Verb;0;1;0;0;1;0;0;0;0;0;ENG30-01800422-v
1990;deteriorare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14561618-n
1991;degradare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14561618-n
1992;defraudare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-00776732-n
1993;delapidare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-00776732-n
1994;sustragere;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-00776732-n
1995;delegat;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-10005721-n
1996;delfin;Noun;1;0;0;0;0;0;1;0;1;1;ENG30-02068974-n
1997;porc-de-mare;Noun;1;0;0;0;0;0;1;0;1;1;ENG30-02068974-n
1998;încânta;Verb;1;0;0;0;0;0;1;0;0;0;ENG30-01815628-v
2000;plăcea;Verb;1;0;0;0;0;0;1;0;0;0;ENG30-01815628-v
2001;delecta;Verb;1;0;0;0;0;0;1;0;0;0;ENG30-01815628-v
2002;desfăta;Verb;1;0;0;0;0;0;1;0;0;0;ENG30-01815628-v
2003;mulțumi;Verb;1;0;0;0;0;0;1;0;0;0;ENG30-01815628-v
2004;încântător;Adjective;1;0;0;0;0;0;1;0;0;0;ENG30-01807964-a
2005;delicios;Adjective;1;0;0;0;0;0;1;0;0;0;ENG30-01807964-a
2006;delincvent;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-09977660-n
2007;delicvent;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-09977660-n
2008;iluzoriu;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01937390-a
2009;himeric;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-01937390-a
2010;alienat;Adjective;0;1;0;0;0;1;0;0;0;0;ENG30-02075321-a
2011;dement;Adjective;0;1;0;0;0;1;0;0;0;0;ENG30-02075321-a
2012;nebun;Adjective;0;1;0;0;0;1;0;0;0;0;ENG30-02075321-a
2013;smintit;Adjective;0;1;0;0;0;1;0;0;0;0;ENG30-02075321-a
2014;țicnit;Adjective;0;1;0;0;0;1;0;0;0;0;ENG30-02075321-a
2015;demență;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-14395403-n
2016;demisie;Noun;0;1;0;0;0;0;0;1;1;0;ENG30-06511560-n
2017;demisiona;Verb;0;1;1;0;1;1;0;1;0;0;ENG30-02382367-v
2018;resemnat;Adverb;0;1;0;0;0;0;0;1;0;0;ENG30-00441740-r
2020;demn;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00689336-a
2021;onorabilitate;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-04806804-n
2022;respectabilitate;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-04806804-n
2023;demnitate;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-04806804-n
2024;democrație;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-08361329-n
2025;demola;Verb;0;1;1;0;0;0;0;1;0;0;DEX
2027;demoralizat;Adjective;0;1;0;0;0;1;0;1;0;0;ENG30-01664880-a
2028;descurajat;Adjective;0;1;0;0;0;1;0;1;0;0;ENG30-01664880-a
2029;învestire;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-00163779-n
2030;numire;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-00163779-n
2031;desemnare;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-00163779-n
2032;denunța;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-00965542-v
2033;pârî;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-00965542-v
2034;spune;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-00965542-v
2035;denunț;Noun;0;1;1;0;1;1;0;0;0;0;ENG30-07237561-n
2036;denunțare;Noun;0;1;1;0;1;1;0;0;0;0;ENG30-07237561-n
2037;distant;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-01987646-a
2038;rece;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-01987646-a
2040;dependent;Adjective;1;1;0;0;0;0;0;0;0;1;ENG30-00725772-a
2041;dependență;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14001348-n
2042;subordonare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14001348-n
2043;atârna;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-02711987-v
2044;depinde;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-02711987-v
2045;deplânge;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-00911350-v
2046;deplora;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-00911350-v
2047;strămuta;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02013571-v
2048;completitudine;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-14460974-n
2049;întregime;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-14460974-n
2050;deplinătate;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-14460974-n
2051;exil;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-00207761-n
2052;exilare;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-00207761-n
2053;pribegie;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-00207761-n
2054;surghiun;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-00207761-n
2055;surghiunire;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-00207761-n
2056;deportare;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-00207761-n
2057;depravare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-00748307-n
2058;destrăbălare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-00748307-n
2059;desfrâu;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-00748307-n
2060;disprețui;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-00855933-v
2061;deprecia;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-00855933-v
2062;deprimare;Noun;0;1;0;0;0;0;0;1;0;0;ENG30-14404460-n
2063;depresie;Noun;0;1;0;0;0;0;0;1;0;0;ENG30-14404460-n
2064;depresiv;Noun;0;1;0;0;0;0;0;1;0;0;ENG30-10005163-n
2065;demoralizant;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-00364479-a
2066;demoralizator;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-00364479-a
2067;deprimant;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-00364479-a
2068;descurajant;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-00364479-a
2069;descurajator;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-00364479-a
2071;reprezentant;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-10357207-n
2072;ridiculizare;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-01224517-n
2073;derâdere;Noun;0;1;1;0;1;0;0;0;0;0;ENG30-01224517-n
2074;agasa;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-01790383-v
2075;enerva;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-01790383-v
2076;irita;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-01790383-v
2077;deranja;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02507736-v
2078;incomoda;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02507736-v
2079;stingheri;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02507736-v
2080;stânjeni;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02507736-v
2081;încurca;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02507736-v
2082;jena;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-02507736-v
2083;perturbator;Adjective;0;1;1;0;0;0;0;0;0;0;ENG30-01189386-a
2084;deranjant;Adjective;0;1;1;0;0;0;0;0;0;0;ENG30-01189386-a
2085;peiorativ;Noun;0;1;1;0;1;1;0;1;0;0;DEX
2086;peiorativ;Adverb;0;1;1;0;1;1;0;1;0;0;ENG30-00419283-r
2087;desăvârșit;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00009650-r
2088;impecabil;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00009650-r
2089;ireproșabil;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00009650-r
2090;perfect;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00009650-r
2091;descalifica;Verb;0;1;0;0;0;0;0;1;0;0;ENG30-00972608-v
2092;refulare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-13550089-n
2093;slăbire;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-00362355-n
2094;șubrezire;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-00362355-n
2095;afla;Verb;0;0;0;0;0;0;0;0;1;0;ENG30-01637982-v
2096;descoperi;Verb;0;0;0;0;0;0;0;0;1;0;ENG30-01637982-v
2097;găsi;Verb;0;0;0;0;0;0;0;0;1;0;ENG30-01637982-v
2098;concepere;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05633385-n
2099;creație;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05633385-n
2100;descoperire;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05633385-n
2101;imaginare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05633385-n
2102;inovație;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05633385-n
2103;invenție;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05633385-n
2104;descuraja;Verb;0;1;0;0;0;1;0;1;0;0;ENG30-01819147-v
2105;impediment;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-03520811-n
2106;obstacol;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-03520811-n
2107;piedică;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-03520811-n
2108;stavilă;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-03520811-n
2109;dezertor;Noun;0;1;1;0;1;1;0;1;0;0;ENG30-10608385-n
2110;mizerie;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-14856752-n
2111;jeg;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-14856752-n
2112;murdărie;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-14856752-n
2113;gunoi;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-14856752-n
2114;decurge;Verb;1;0;0;1;0;0;0;0;0;0;ENG30-00341560-v
2115;desfășura;Verb;1;0;0;1;0;0;0;0;0;0;ENG30-00341560-v
2116;evolua;Verb;1;0;0;1;0;0;0;0;0;0;ENG30-00341560-v
2117;spulbera;Verb;0;1;1;0;0;0;0;0;0;0;ENG30-01083576-v
2118;distruge;Verb;0;1;1;0;0;0;0;0;0;0;ENG30-01083576-v
2119;nimici;Verb;0;1;1;0;0;0;0;0;0;0;ENG30-01083576-v
2120;desființa;Verb;0;1;1;0;0;0;0;0;0;0;ENG30-01083576-v
2121;strivi;Verb;0;1;1;0;0;0;0;0;0;0;ENG30-01103836-v
2122;zdrobi;Verb;0;1;1;0;0;0;0;0;0;0;ENG30-01103836-v
2123;nimici;Verb;0;1;1;0;0;0;0;0;0;0;ENG30-01103836-v
2124;redresare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00259177-n
2125;refacere;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00259177-n
2126;remediere;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00259177-n
2127;despărți;Verb;0;1;0;0;0;0;0;1;0;0;DEX
2128;despica;Verb;0;0;0;0;0;1;0;0;0;0;ENG30-01556572-v
2129;scindare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-00359492-n
2130;rupere;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-00359492-n
2131;separare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-00359492-n
2132;destăinui;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-00933821-v
2133;dezvălui;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-00933821-v
2134;divulga;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-00933821-v
2135;mărturisi;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-00933821-v
2136;spune;Verb;0;0;0;0;0;0;0;0;0;1;ENG30-00933821-v
2137;adresant;Noun;0;0;0;1;0;0;0;0;0;0;ENG30-10578656-n
2138;destinatar;Noun;0;0;0;1;0;0;0;0;0;0;ENG30-10578656-n
2139;detașare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-07506031-n
2140;detecta;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00731574-v
2141;dibui;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00731574-v
2142;prinde;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00731574-v
2143;dăuna;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-01537959-v
2144;prejudicia;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-01537959-v
2145;strica;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-01537959-v
2146;vătăma;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-01537959-v
2147;înrăutăți;Verb;0;1;0;0;0;1;0;1;0;0;ENG30-00208210-v
2148;agrava;Verb;0;1;0;0;0;1;0;1;0;0;ENG30-00208210-v
2149;deteriora;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00208497-v
2150;deteriorare;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-14560538-n
2151;degradat;Adjective;0;1;0;0;1;0;0;1;0;0;ENG30-02581254-a
2152;deteriorat;Adjective;0;1;0;0;1;0;0;1;0;0;ENG30-02581254-a
2153;uzat;Adjective;0;1;0;0;1;0;0;1;0;0;ENG30-02581254-a
2154;ponosit;Adjective;0;1;0;0;1;0;0;1;0;0;ENG30-02581254-a
2155;motivat;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00104699-a
2156;hotărât;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00104699-a
2157;determinat;Adjective;1;0;0;0;0;0;0;0;0;0;ENG30-00104699-a
2158;hotărî;Verb;0;0;0;1;0;0;0;0;0;1;ENG30-00699485-v
2159;decide;Verb;0;0;0;1;0;0;0;0;0;1;ENG30-00699485-v
2160;determina;Verb;0;0;0;1;0;0;0;0;0;1;ENG30-00699485-v
2161;urî;Verb;0;1;1;0;1;1;0;0;0;0;ENG30-01774426-v
2162;detesta;Verb;0;1;1;0;1;1;0;0;0;0;ENG30-01774426-v
2163;abhora;Verb;0;1;1;0;1;1;0;0;0;0;ENG30-01774426-v
2164;desconsidera;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-01774799-v
2165;disprețui;Verb;0;1;1;0;1;0;0;0;0;0;ENG30-01774799-v
2166;detona;Verb;0;1;0;0;0;1;0;0;1;0;ENG30-00306723-v
2167;jefui;Verb;0;1;1;0;0;1;0;1;0;0;ENG30-01565472-v
2168;prăda;Verb;0;1;1;0;0;1;0;1;0;0;ENG30-01565472-v
2169;devasta;Verb;0;1;1;0;0;1;0;1;0;0;ENG30-01565472-v
2170;pustii;Verb;0;1;1;0;0;1;0;1;0;0;ENG30-01565472-v
2171;hăpăi;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-01196653-v
2172;devora;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-01196653-v
2173;se lăcomi;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-01196653-v
2174;devora;Verb;0;0;0;1;0;0;0;0;0;0;ENG30-01820798-v
2175;dexteritate;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-05642815-n
2176;disensiune;Noun;0;1;1;0;0;0;0;1;0;0;ENG30-07181546-n
2177;conflict;Noun;0;1;1;0;0;0;0;1;0;0;ENG30-07181546-n
2178;dezacord;Noun;0;1;1;0;0;0;0;1;0;0;ENG30-07181546-n
2179;neînțelegere;Noun;0;1;1;0;0;0;0;1;0;0;ENG30-07181546-n
2180;antipatic;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-09631463-n
2181;dezagreabil;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-09631463-n
2182;neplăcut;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-09631463-n
2183;nesuferit;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-09631463-n
2184;respingător;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-09631463-n
2185;scârbos;Noun;0;1;0;0;1;0;0;0;0;0;ENG30-09631463-n
2186;decepționa;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-01798936-v
2187;dezamăgi;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-01798936-v
2188;deziluziona;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-01798936-v
2189;decepție;Noun;0;1;0;0;1;0;0;1;0;0;ENG30-07540602-n
2190;dezamăgire;Noun;0;1;0;0;1;0;0;1;0;0;ENG30-07540602-n
2191;deziluzie;Noun;0;1;0;0;1;0;0;1;0;0;ENG30-07540602-n
2192;decepționant;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-02082611-a
2193;dezamăgitor;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-02082611-a
2194;deziluzionant;Adjective;0;1;0;0;0;0;0;1;0;0;ENG30-02082611-a
2195;dezaprobare;Noun;0;1;0;0;0;0;0;1;0;0;ENG30-07502829-n
2196;dezastruos;Adverb;0;1;1;0;0;1;0;1;0;0;ENG30-00313092-r
2197;dezavantaj;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-05161614-n
2198;inconvenient;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-05161614-n
2199;neajuns;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-05161614-n
2200;devastat;Adjective;0;1;1;0;1;1;0;1;0;0;ENG30-00735709-a
2201;jefuit;Adjective;0;1;1;0;1;1;0;1;0;0;ENG30-00735709-a
2202;prădat;Adjective;0;1;1;0;1;1;0;1;0;0;ENG30-00735709-a
2203;ruinat;Adjective;0;1;1;0;1;1;0;1;0;0;ENG30-00735709-a
2204;pustiit;Adjective;0;1;1;0;1;1;0;1;0;0;ENG30-00735709-a
2205;despuiat;Adjective;0;0;0;1;0;1;0;0;0;0;ENG30-00457998-a
2206;dezbrăcat;Adjective;0;0;0;1;0;1;0;0;0;0;ENG30-00457998-a
2207;gol-pușcă;Adjective;0;0;0;1;0;1;0;0;0;0;ENG30-00457998-a
2208;nud;Adjective;0;0;0;1;0;1;0;0;0;0;ENG30-00457998-a
2209;gol;Adjective;0;0;0;1;0;1;0;0;0;0;ENG30-00457998-a
2210;despuiat;Noun;0;1;0;0;0;0;0;0;0;0;DEX
2212;abominabil;Adjective;0;1;1;0;1;1;0;0;0;0;ENG30-01460679-a
2213;dezgustător;Adjective;0;1;1;0;1;1;0;0;0;0;ENG30-01460679-a
2214;execrabil;Adjective;0;1;1;0;1;1;0;0;0;0;ENG30-01460679-a
2215;odios;Adjective;0;1;1;0;1;1;0;0;0;0;ENG30-01460679-a
2216;dezgustător;Adverb;0;1;1;0;1;0;0;0;0;0;ENG30-00314141-r
2217;revoltător;Adverb;0;1;1;0;1;0;0;0;0;0;ENG30-00314141-r
2218;dezgustător;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01625893-a
2219;grețos;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01625893-a
2220;greu;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01625893-a
2221;infect;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01625893-a
2222;puturos;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01625893-a
2223;scârbos;Adjective;0;1;0;0;1;0;0;0;0;0;ENG30-01625893-a
2224;dezinfectare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00709521-n
2225;dezinfecție;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00709521-n
2226;sterilizare;Noun;1;0;0;0;0;0;0;0;0;0;ENG30-00709521-n
2227;dezinformare;Noun;0;1;1;0;0;1;0;0;0;0;ENG30-06635313-n
2228;dezintegrare;Noun;0;1;0;0;0;0;0;0;0;0;DEX
2229;neglijent;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-00755220-a
2230;superficial;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-00755220-a
2231;dezinteresat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-00755220-a
2232;dezirabil;Adjective;1;0;0;0;0;0;0;0;0;0;DEX
2233;disperat;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-10008535-n
2234;desperat;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-10008535-n
2235;deznădăjduit;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-10008535-n
2236;părăsire;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-07534108-n
2237;dezolare;Noun;0;1;0;0;0;1;0;1;0;0;ENG30-07534108-n
2238;dezonoare;Noun;0;1;1;0;1;1;0;1;0;0;ENG30-04873939-n
2239;dezordonat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-02426042-a
2240;răscoală;Noun;0;1;1;0;0;1;0;0;1;0;ENG30-00963896-n
2241;răzmeriță;Noun;0;1;1;0;0;1;0;0;1;0;ENG30-00963896-n
2242;răzvrătire;Noun;0;1;1;0;0;1;0;0;1;0;ENG30-00963896-n
2243;rebeliune;Noun;0;1;1;0;0;1;0;0;1;0;ENG30-00963896-n
2244;revoltă;Noun;0;1;1;0;0;1;0;0;1;0;ENG30-00963896-n
2245;dezorganizat;Adjective;0;1;0;0;0;0;0;0;0;0;ENG30-01668858-a
2246;dezumfla;Verb;0;1;1;0;0;0;0;1;0;0;ENG30-00573085-v
2247;dezvolta;Noun;1;0;0;1;0;0;0;0;0;0;ENG30-00439043-n
2248;drăcesc;Adverb;0;1;1;0;1;1;0;0;0;0;ENG30-00308916-r
2249;diavolesc;Adverb;0;1;1;0;1;1;0;0;0;0;ENG30-00308916-r
2250;diabolic;Adverb;0;1;1;0;1;1;0;0;0;0;ENG30-00308916-r
2251;diacon;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-09994520-n
2252;schemă;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-06999802-n
2253;schiță;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-06999802-n
2254;grafic;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-06999802-n
2255;diamant;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14834563-n
2256;adamant;Noun;1;0;0;0;0;0;1;0;0;0;ENG30-14834563-n
2257;cufureală;Noun;0;0;0;0;1;0;0;0;0;0;ENG30-14371913-n
2258;diaree;Noun;0;0;0;0;1;0;0;0;0;0;ENG30-14371913-n
2259;diavolesc;Adjective;0;1;0;0;1;1;0;0;0;0;ENG30-01133374-a
2260;mefistofelic;Adjective;0;1;0;0;1;1;0;0;0;0;ENG30-01133374-a
2261;dictator;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-09824135-n
2262;tiran;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-09824135-n
2263;dictator;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-10011902-n
2264;tiran;Noun;0;1;0;0;0;1;0;0;0;0;ENG30-10011902-n
2265;maximă;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-07153385-n
2266;aforism;Noun;0;0;0;0;0;0;0;0;0;1;ENG30-07153385-n
2267;didactic;Adverb;1;0;0;0;0;0;0;0;0;0;ENG30-00311651-r
2268;diferit;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-02064745-a
2269;dificil;Adjective;0;0;0;0;0;1;0;0;0;0;ENG30-00744916-a
2270;greu;Adjective;0;0;0;0;0;1;0;0;0;0;ENG30-00744916-a
2271;dificultate;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-05686955-n
2272;greutate;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-05686955-n
2273;piedică;Noun;0;1;1;0;0;1;0;1;0;0;ENG30-05686955-n
2274;difuza;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00968211-v
2275;populariza;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00968211-v
2276;propaga;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00968211-v
2277;propovădui;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00968211-v
2278;răspândi;Verb;1;0;0;0;0;0;0;0;0;0;ENG30-00968211-v
2279;diligență;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-04673006-n
2280;boteza;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00487748-v
2281;dilua;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00487748-v
2282;dimineață;Noun;0;0;0;1;0;0;0;0;0;0;ENG30-15165289-n
2283;dinamic;Adjective;0;0;0;0;0;0;0;0;1;0;ENG30-00808191-a
2284;dinozaur;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-10022908-n
2285;fosilă;Noun;0;1;0;0;0;0;0;0;0;0;ENG30-10022908-n
2286;dinozaur;Noun;0;0;0;0;0;1;0;0;0;0;ENG30-01699831-n
2287;diplomatic;Adjective;1;0;0;0;0;0;0;0;0;1;DEX
2288;administrator;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-09770949-n
2289;intendent;Noun;1;0;0;0;0;0;0;0;0;1;ENG30-09770949-n
2290;disciplina;Verb;0;1;0;0;0;1;0;0;0;0;ENG30-02553428-v
2292;discredita;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00687738-v
2293;compromite;Verb;0;1;0;0;0;0;0;0;0;0;ENG30-00687738-v
2294;desconsidera;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-02457825-v
2295;disprețui;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-02457825-v
2296;nesocoti;Verb;0;1;1;0;1;0;0;1;0;0;ENG30-02457825-v
2297;discriminare;Noun;0;1;1;0;1;1;0;1;0;0;DEX
